ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.651385788171,12988.492966870117,16637.271185579433
2017-06-01,14182.972196785171,12499.507720458276,15990.378711889853
2017-07-01,16003.76846309407,14325.773511140374,17807.993357702584
2017-08-01,12694.729093417433,11035.886887432358,14484.066574510109
2017-09-01,11328.955377600303,9507.61253762345,13103.413680455233
2017-10-01,20469.34032524082,18720.648935344394,22151.094508004953
2017-11-01,13595.409864958521,11877.027705064456,15419.983992527892
2017-12-01,15061.85189732624,13397.139882469333,16955.399032103443
2018-01-01,16523.70295306608,14868.271833304436,18248.08878125499
2018-02-01,11978.134209759588,10265.986562917391,13606.78899889802
2018-03-01,13054.96611324406,11289.898413804092,14755.56817317821
2018-04-01,16297.008258179243,14632.510012739394,18248.149320668155
2018-05-01,15122.907784226207,13372.520866695202,16902.018589041796
2018-06-01,13852.75226784416,12125.104895270686,15698.417705069325
2018-07-01,18489.68393949106,16679.53920867142,20089.048452444815
2018-08-01,13223.071063706999,11375.405183979969,15001.663649641392
2018-09-01,12170.936928419771,10462.702197719715,13841.341456829756
2018-10-01,20724.021720988014,19071.533146141253,22651.462230394776
2018-11-01,14412.323896627266,12680.320092331316,16193.428739262043
2018-12-01,17267.18993782776,15528.023564430781,18949.925920061116
2019-01-01,17077.435408749043,15280.08007468964,18851.93866565741
2019-02-01,12384.398190706212,10695.95823514164,14237.55696747296
2019-03-01,13342.383718629817,11649.4904152941,15122.3841039436
2019-04-01,18930.22550164866,17236.37936951326,20732.618907293076
2019-05-01,15363.3408013214,13592.446486976049,17098.47088320159
2019-06-01,13544.69071834629,11799.369365623612,15370.850176119928
2019-07-01,20982.88833059154,19228.2723235993,22707.185124192954
2019-08-01,13731.450816289644,11926.34329879406,15611.479580187552
2019-09-01,13006.572538844906,11255.01126369875,14792.23777923508
2019-10-01,20981.942984031106,19316.69819110015,22778.244056258176
2019-11-01,15256.203736950096,13529.994826250297,17177.445978463624
2019-12-01,19465.896874284743,17739.98495378077,21134.10880335225
2020-01-01,17603.153113067776,15814.823740494412,19350.714423403133
2020-02-01,12785.412336782205,11103.183609688644,14545.674827626639
2020-03-01,16181.107624213791,14403.226613628172,17962.649129877896
2020-03-02,19152.72232440833,17463.65892882306,20877.94754508267
2020-03-03,22538.951234822267,20833.98088775028,24434.75184874512
2020-03-04,26293.337928224082,24545.049481855134,28091.760886461514
2020-03-05,30358.610734282152,28618.520108755194,32206.26232098679
2020-03-06,34667.73984424988,32967.301751833555,36502.09564305948
2020-03-07,39145.2401273736,37366.02396616312,40899.12329674533
2020-03-08,43708.69091873045,41847.77838992644,45616.2782983166
2020-03-09,48270.43882100161,46566.54036907273,50032.37212513444
2020-03-10,52739.4451604316,51006.8497264065,54389.233046544396
2020-03-11,57023.23625062971,55264.54453299808,58812.03132452105
2020-03-12,61029.91212569532,59281.05939539791,62748.64132628905
2020-03-13,64670.1679605873,62759.30969661845,66325.25369426787
2020-03-14,67859.28202974798,66117.0089546752,69731.29676446223
2020-03-15,70519.02476838844,68689.91759909203,72429.91337832894
2020-03-16,72579.44527003945,70868.12305701005,74391.53224629365
2020-03-17,73980.49433285375,72237.4446413302,75792.1273474811
2020-03-18,74673.44688267443,72829.11395388971,76599.06288923939
2020-03-19,74622.09116139737,72926.54658658414,76663.45142943024
2020-03-20,73803.65736256423,71899.77543434754,75512.40965804025
2020-03-21,72209.46429419644,70545.84511323183,73891.41291301537
2020-03-22,69845.26901166784,68002.12483838294,71508.32753016011
2020-03-23,66731.31103987536,64994.553985175145,68453.06772754667
2020-03-24,62902.049639058765,61200.68355384529,64663.57471553367
2020-03-25,58405.599403977234,56552.76877154117,60236.32440602085
2020-03-26,53302.876165901136,51381.17009716971,55144.70608134908
2020-03-27,47666.47154054619,45980.456828689574,49489.0018113853
2020-03-28,41579.280390078515,39711.96457198947,43361.69087661634
2020-03-29,35132.9108143989,33481.99441896254,36991.020462076485
2020-03-30,28425.910940479553,26662.11824948332,30290.51724933178
2020-03-31,21561.850640922945,19719.07904245,23141.194495027394
